名称,图片,主料,辅料,调料,口味,方法,地域,季节,步骤,热量(卡路里),营养
白菜卷,236808.jpg,大白菜 胡萝卜 干木耳 瘦肉,生抽 蚝油 糖 盐 鸡精,,咸鲜,,,秋季食谱,"['将胡萝卜，木耳，瘦肉，洗净切碎。', '把白菜帮切掉备用，白菜叶在开水锅里烫熟。', '剩下的白菜帮切碎加入步骤（1）。', '添加生抽，蚝油，糖，盐，鸡精适量。拌匀腌制一会。', '将拌匀的馅放在熟菜叶上，卷起。', '卷好的菜卷，上锅蒸，水开后15分钟左右。', '蒸好的菜卷。倒出汁入炒锅，加水淀粉勾芡，浇在盘中菜卷上。', '成品。', '成品。']",150,富含维生素C、含膳食纤维
胡萝卜炒洋葱,257823.jpg,胡萝卜 洋葱,油 盐 酱油 麦菜,,咸鲜,,,春季食谱 夏季食谱 秋季食谱,"['洋葱和胡萝卜切细条备用', '锅烧热，倒入油，待油稍热，倒入洋葱翻炒。', '加入胡萝卜翻炒。加调味料调下味', '炒至胡萝卜和洋葱均变软。如果油不够，可以加适量生粉水勾茨下。直至将胡萝卜煮熟。有些人喜欢脆脆的胡萝卜，我喜欢变软的胡萝卜味道哈', '最后加入生菜翻炒下。', '熟后即可出锅装盘食用。']",150,富含维生素A、含膳食纤维、含钾元素
茄汁长豆角,406594.jpg,长豆角 番茄,盐 生抽 葱,,原味,,,夏季食谱,"['豆角切段，番茄切块，葱切小段。', '锅中放油烧热，爆香葱，放入豆角和番茄。', '炒至番茄软烂放盐。', '放入生抽关火。', '盛入盘内。']",100,富含维生素、含蛋白质、铁元素
牛排披萨,327952.jpg,高筋面粉 鸡蛋 牛奶 盐 白砂糖 耐高糖酵母 黄油,红椒 青椒 黄椒 洋葱 西红柿 牛排 盐 披萨酱 马苏里拉芝士碎,,咸甜,,,夏季食谱,"['将披萨皮材料全部放入东菱1352AE-3C面包机中，使用披萨面团菜单进行揉面，时间为25分钟。', '这个时间准备馅料：将洋葱，红椒，黄椒，青椒切成丝，西红柿切成片，牛排切成小条。', '将青椒，红椒，黄椒放入加热的锅中。', '加入适量的盐进行煸炒。', '炒至5分熟就可以了。', '然后将牛肉条倒入锅中进行煸炒。', '炒至表面变色后倒入盘中备用。', '25分钟后面包机把披萨面团就做好了。', '取出披萨面团，排气后平均分割成两份并揉圆。', '取一个面团擀成和八寸模具大小差不多的圆形。', '模具为了防粘，表面刷一层油，如果模具不沾，也可以不刷。', '将擀好的饼皮放入披萨盘中。', '用手将饼皮压成和披萨盘一样大小圆形。', '用叉子将披萨皮扎满小孔，避免烘烤时饼皮受热鼓起。', '然后放入预热好的烤箱中进行烘烤定型，温度为180度，时间为5分钟。', '烘烤结束后取出,同样方法做第二个披萨皮。', '两个都做好后取一个烤好的披萨皮，放在烤盘里。', '表面刷一层披萨酱。', '然后撒上一层马苏里拉芝士碎。', '铺上去水后的蔬菜和牛肉条，牛肉条放在最上面一层。', '最后再撒上一层马苏里拉芝士碎。', '批萨四周刷一层蛋液。', '放入预热好的烤箱中进行烘烤，温度为190度，时间为20分钟。', '烘烤结束后取出，披萨就做好了。', '展示图。', '展示图。']",250,富含蛋白质、含铁元素
虾扯蛋,301245.jpg,鲜虾 鸡蛋 青椒 芹菜 红椒,老干妈 大葱,,咸鲜,,,秋季食谱,"['鸡蛋下锅，煎成荷包蛋、每个荷包蛋分切成四块', '虾清理干净，去虾线', '油锅下芹菜、青红椒、老干妈豆豉酱爆香', '荷包蛋和虾一起下锅爆炒', '两分钟后，起锅。这里不需要另外加盐，因为老干妈豆豉酱已经有足够的盐了']",100,富含蛋白质、含维生素
泡菜汤,355113.jpg,五花肉 韩国辣白菜 豆腐,盐 大蒜 白糖 米酒,,酸辣,,,夏季食谱 秋季食谱,"['锅内放入切成小块的豆腐、韩国辣白菜段、五花肉片', '加入适量清水后，放入一大勺韩国辣酱，加入蒜蓉及少许米酒，搅匀，大火烧开，中火炖煮20分钟左右', '汤汁见浓关火放，放入适量盐及白糖即可']",100,富含维生素C、含蛋白质、含铁
家常火辣花甲,196913.jpg,花甲 生姜 花椒 生抽 胡椒粉,香菜 大蒜 干红辣椒 料酒,,中辣,,,夏季食谱,"['我每次挑选花甲，都是挑选大个肉质饱满的，在盐水中张开口的花甲要捏一捏，如果会收缩就是鲜活的。一般店主是不允许挑选的。但是熟悉了以后就可以的。在买花甲的时候让店主给些调好的盐水、【自己调的比例不对】就用那个水养花甲，可以养几个小时让花甲把毒沙和淤泥吐得更干净。花甲吐干净之后；煮之前再清洗几遍，用小刷子把壳上的粘液，泥巴洗干净。将花甲清洗干净，烧一锅开水，放入花甲，煮至开口，发现壳内有泥沙，或不张口的要马上丢掉。【花甲如果吐沙子的时间够久，而且已经完全吐干净了，也没必要用开水焯花甲了，焯过的花甲汤汁会变少】。', '准备花甲500克、生姜20克、大蒜1个、花椒10克、干红辣椒20克、生抽1勺、料酒1勺、香菜20克。将葱切段，生姜切片，香菜切段，干红辣椒切丝。锅中放油；分别将生姜片、干红辣椒丝、花椒粒放入油锅中。炒花甲的加入一些的葱、姜、料酒，能有效的去除腥味。', '油锅烧热调到中火，将花甲洗净沥干水分后直接放入已经爆香的作料锅中翻炒。在炒的过程中花甲自身会吐出一些水，炒完花甲都会有很多汤汁。看各人喜好，如果喜欢花甲汤汁的；就将汤汁保留下来。将下好的面条放入汤汁里味道还不错。不想要汤汁，那就换一个锅重新倒油翻炒一遍。这样花甲原有的鲜美就会失去很多。【我还是喜欢有汤汁的花甲，汤汁渗透的花甲壳中；汤汁和花甲肉的混合一块吃才美味】', '花甲本身比较容易熟，炒的时候火力不要太大了，花甲的肉质就会回缩不够饱满，也没有鲜嫩的口感了。【火力200足够，不用调到240】', '放入一勺料酒。炒花甲的过程不能太长，那样水会太多了；花甲的肉质会老而且变小。', '炒花甲时只要开口的可以捞出来了，以免过老，就不好吃了。加进一勺生抽。', '花甲已经开口放入大蒜提香。', '花蛤炒好后关火；加入香菜用余温略翻炒。', '花甲自身带有咸味，因此盐少量的放，之前已经放入一勺生抽咸味足够。加入适量的胡椒粉即可出锅。', '为了这道火辣花甲鲜嫩多汁；翻炒花甲的时候一定要掌握时间，根据花甲的大小来定，最长不要超过一分钟一定要关火，如果时间过久会影响花甲的鲜度和口感；还要保证作料快速入味到花甲肉里。怎么样？还不赶快试一试，有问题尽管提哦！留在评论里就行，我看到了就会回答地~~~']",100,富含蛋白质、维生素B、铁元素
蚝油包菜粉丝,144901.jpg,包菜 龙口粉丝,油 盐 葱 姜 蚝油 香油,,咸鲜,,,夏季食谱,"['煮锅烧开一锅水，放入粉丝煮一分钟，然后关火泡发十分钟后捞出备用。', '包包菜洗净后切成细丝。', '准备一些葱花、姜丝。', '炒锅倒油烧热，下葱花、姜丝炒出香味。', '放入两匙蚝油炒炒。', '放入包菜翻炒翻炒。', '放入粉丝翻炒翻炒。', '尝尝味放入适量盐翻炒均匀。', '淋入少许香油翻炒均匀即可出锅。']",150,富含维生素、含蛋白质、铁元素
抹茶慕斯蛋糕,658440.jpg,奶油 牛奶,吉利丁 奥利奥 酸奶,白糖 抹茶粉 黄油,原味,冷冻,,,"['奥利奥碎80克打成粉沫。', '黄油用微波炉熔化，倒入奥利奥中拌匀。', '放入活底慕斯模具中压平，入冰箱冷藏半小时以上。', '准备好以上食材。', '吉利丁片15克用冷水泡软。', '牛奶100克中倒入白糖50克上电煮锅加热至微微冒泡。', '把牛奶平分两个碗中。', '一份加入泡软的吉利丁，牛奶是热的将其搅拌化开。', '安慕希原味酸奶一盒205克。', '将酸奶也倒入才加入吉利丁的牛奶中拌匀。', '五十里抹茶粉4克。', '倒入另一份牛奶中，将其过筛一遍口感会更细腻。', '奶油用电蛋打蛋器搅成浓酸奶状。', '再把打发好的奶油倒入刚才加入吉利丁的牛奶中。', '用硅胶铲搅拌好。', '将糊分成两份，一份加抹茶液，一份不加。', '一份是加了抹茶的慕斯糊，一份没有加抹茶的慕斯。', '取出刚才活底慕斯蛋糕模具，两份糊交替倒入模具中。', '最后用竹签在糊糊表面不规则的转动，便成了大理石舞。', '漂亮！入冰箱冷藏4个小时，最后用热毛巾擦拭模具，脱模即可！', '夏日午后来一份非常清爽可口！']",300,富含蛋白质、含碳水化合物、维生素E
牛排骨炖意大利粉,359721.jpg,牛排骨 意大利粉,盐 植物油 料酒 老抽 生抽 葱 姜,,其他,,,秋季食谱 冬季食谱,"['新鲜的牛软肋排，打开袋子很新鲜取出一部分', '放生抽老抽料酒腌制十分钟，意大利粉备用。', '热油下葱姜爆锅，炒下牛软肋排', '加适量的水，小火慢炖大约45分钟左右牛软肋炖软烂了。', '（我取出一部分炖好的牛软肋，另行做菜）按照个人的食用量留一部分，加入意大利粉，小火炖20分钟，意大利粉每一种类的烹制时间不同，需要看说明书。', '20分钟过后，全部炖好、装盘上桌。', '分享', '分享']",500,富含蛋白质、含铁元素、维生素B
樱桃茶,290855.jpg,樱桃果酱 枸杞 甘草,纯净水,,甜味,,粤菜,夏季食谱,"['准备好材料，樱桃果酱是自己做的，比较大块，我用剪刀稍稍剪了下', '甘草和枸杞冲洗一下，放入养生壶', '加入到1升的水位，启动2号花茶键', '煮大约15分钟后放入樱桃果酱', '继续煮5分钟即可', '成品']",0,富含维生素C
红糖手指年糕,249555.jpg,手指年糕,红糖,,甜味,,粤菜,冬季食谱,"['手指年糕，掰开，切段；', '切好的年糕，泡下水，放煮锅里，煮软；基本开水烧开就可以了；', '另一锅，放入适量的清水，和红糖块；慢火；', '红糖，烧融化；拎起，淋入装好年糕的盘里；', '一碗，甜蜜蜜的红糖年糕就可以吃了；']",150,富含碳水化合物、含铁元素、维生素B
三色炒鱼丁,183897.jpg,青鱼段 青豆 红椒 白果,鸡蛋清 葱 姜 鲜汤,,原味,,,秋季食谱,"['先准备好材料；', '鱼块去骨切丁，加蛋清和盐、淀粉适量拌匀上浆；', '青豆入沸水淖熟捞出沥干；', '红椒切小片；葱切小段；姜切片；白果洗净在开水中过一下；', '炒锅洗净内外擦干，倒入适量油加热；', '火红点变色时倒入鱼丁滑熟盛出；', '红椒、白果入锅中炒熟，盛出；', '爆香葱段、姜片，加入鲜汤、料酒、盐调成味汁；', '倒入鱼丁、白果、红椒、青豆，烧开后用水淀粉勾薄芡，加鸡精炒匀即可出锅。']",100,富含维生素、含蛋白质、铁元素
豌豆黄,225361.jpg,豌豆,白糖 清水,,甜味,,北京菜,,"['豌豆浸泡一晚上，搓去豌豆皮备用', '将搓去皮的豌豆加入清水，水能够没过豌豆即可', '盖住放入高压锅内隔水蒸', '盖紧通电选择功能键', '蒸好的豌豆趁热加入白糖拌均', '加入料理机里打成豆泥', '打好的豌豆泥倒入不沾盘里，用刮刀刮平', '定型时上面盖上一层保鲜膜，以免表皮风干', '切块即可享用']",100,富含维生素、含蛋白质
番茄烩烙饼,272660.jpg,面粉 玉米面 西红柿 卷心菜 鸡蛋 火腿肠,植物油 生抽 食盐 大葱 花生油,,咸鲜,,,秋季食谱,"['先来做烙饼：面粉和玉米面放入面盆中，加入花生油和少许的清水。', '和成面团后醒发30分钟。', '将醒发好的面团分成两份面团，擀开。', '锅中倒入3ml的植物油，将饼子烙至两面金黄即可。', '烙好的饼子取出备用。', '西红柿表面切个十字，放入水中煮5分钟左右。', '煮好的西红柿撕去表皮，烙饼切块儿，大葱切葱花，卷心菜切块儿。', '锅中倒入剩余的5ml植物油。', '放入西红柿块儿。', '西红柿出沙以后，在旁边空一点儿地方，打一个鸡蛋，蛋液半凝固后，放入卷心菜。', '炒匀后，放入烙饼。', '最后加入火腿，食盐和生抽。', '最后出锅前撒入葱花。', '拌匀。', '盛出~', '开吃啦~']",100,富含维生素C、含碳水化合物
草莓奶昔思慕雪,247506.jpg,新鲜草莓 维生素菊粉,酸奶 冰块,,奶香,,,情人节 七夕,"['集体合影来一张，所需材料有新鲜草莓、冰块、酸奶、维生素菊粉。', '先把草莓清洗干净，要多清洗几遍。自己动手做放心！', '然后将草莓切成小块。', '把酸奶倒入料理杯中。', '加入维生素菊粉。法国原配方中就有添加维生素菊粉，所以我也用上。在欧洲很多高端的甜品中都有使用。也是很多欧美模特每天都要吃的食物。有排毒通便、美容养颜的功效。维生素菊粉有一点点甜味，所以我没有使用糖，糖的过多摄入对身体会增加负担！', '然后加入冰块。', '接着加入我们之前切好的草莓块。', '然后下搅拌器。', '搅拌一会儿就可以了。如果你喜欢思慕雪沙冰的感觉，可以把这个杯子再冻到冰箱中冻一会儿，这样会更粘稠，有沙冰的感觉，现在有点奶昔的感觉，大家根据自己的喜好做选择吧！', '在杯子中和上面装饰一下就好了。今天我请客，您自己做，140元-10元，为您节约130哦！绝对新鲜，绝对好喝，而且富含维生素菊粉，绝对是爱美的姐妹，想像模特一样的美女的大爱。而且我是一口气就喝光的，真的是超级超级好喝。绝对是包装饮料无法做到的口感，你能感觉到那份天然、绿色、纯洁的感觉！']",200,富含维生素C、含蛋白质、含钙
丝瓜豆腐蛋汤,222767.jpg,丝瓜 鸡蛋 豆腐,姜 葱 盐 油,,清淡,,,夏季食谱,"['材料；', '豆腐切小块，放淡盐水中浸泡几分钟；', '丝瓜去丝去皮，切滚刀块；', '姜切丝，葱切末；', '鸡蛋先打散在碗里；', '锅中加水3碗，放入姜丝烧开；', '加入豆腐和丝瓜再滚开；', '在滚开处倒入蛋液搅拌；', '搅拌均匀后加盐、油和葱花就可以喝汤了。']",100,富含蛋白质、维生素
金平牛蒡,222646.jpg,牛蒡 胡萝卜 焙香白芝麻,味淋 日式酱油 糖 芝麻油,,其他,,,冬季食谱,"['准备好全部材料；', '牛蒡去皮，削成细丝，放在提前准备好的白醋水中浸泡15分钟。日料中是像削铅笔那样削出来的，如果你弄不好，就直接切细丝也可以。白醋水的比例是100cc清水+3cc的白醋，如果实在嫌麻烦，就用清水也勉强可以吧；', '胡萝卜去皮切细丝，红辣椒去籽切圈。胡萝卜丝可以比牛蒡丝稍微粗一些，因为炒制后胡萝卜会变软；', '泡好的牛蒡，沥干水分备用；', '锅中倒入芝麻油，中小火加热；', '油温后倒入牛蒡丝，中大火翻炒，至牛蒡均匀的裹上芝麻油，稍稍变软；', '加入胡萝卜丝和辣椒，继续翻炒一会儿，至胡萝卜软身；', '依次加入味淋，酱油和糖；', '翻炒均匀至收汁；', '装盘，撒上些焙香白芝麻，就可以吃啦.']",100,富含膳食纤维、含蛋白质、维生素C、铁元素
翡翠三鲜饺子,509510.jpg,菠菜 芹菜 猪肉 大虾 面粉,蚝油 生抽 料酒 鸡蛋 盐 香油,,咸鲜,,,立冬 冬至,"['菠菜洗净切成小段，加入适量清水，放入料理机打成汁。用菠菜汁和面。再用清水和面。分开和两个面团，揉光滑。', '芹菜洗净切小段，放入绞菜器中，搅碎。', '大虾去皮去虾线，切碎。', '猪肉馅中放入适量生抽，一勺蚝油，一勺料酒，适量盐，适量香油，一个鸡蛋。把切好的虾碎放入其中。再加入适量植物油。', '朝一个方向划圈儿搅拌均匀。', '加入芹菜朝一个方向划圈儿搅拌均匀。', '两种颜色的面团揉光滑，分别揪成大小差不多的小剂子。', '两种颜色的剂子各取一个，放在一起。', '擀成皮。', '放入三鲜馅，做成饺子。', '锅中放入适量清水烧开，下入饺子烧开。', '中间点三次冷水，待饺子完全漂着鼓起即可关火出锅。', '成品图。']",300,富含蛋白质、维生素C、膳食纤维
